0	2	4	6	1	3	5	7	8	10	12	14	9	11	13	15	
0	2	4	6	1	3	5	7	8	10	12	14	9	11	13	15	
1	3	5	7	0	2	4	6	9	11	13	15	8	10	12	14	
1	3	5	7	0	2	4	6	9	11	13	15	8	10	12	14	
8	10	12	14	9	11	13	15	0	2	4	6	1	3	5	7	
8	10	12	14	9	11	13	15	0	2	4	6	1	3	5	7	
9	11	13	15	8	10	12	14	1	3	5	7	0	2	4	6	
9	11	13	15	8	10	12	14	1	3	5	7	0	2	4	6	
0	2	4	6	1	3	5	7	8	10	12	14	9	11	13	15	
0	2	4	6	1	3	5	7	8	10	12	14	9	11	13	15	
1	3	5	7	0	2	4	6	9	11	13	15	8	10	12	14	
1	3	5	7	0	2	4	6	9	11	13	15	8	10	12	14	
8	10	12	14	9	11	13	15	0	2	4	6	1	3	5	7	
8	10	12	14	9	11	13	15	0	2	4	6	1	3	5	7	
9	11	13	15	8	10	12	14	1	3	5	7	0	2	4	6	
9	11	13	15	8	10	12	14	1	3	5	7	0	2	4	6	
0	2	4	6	1	3	5	7	8	10	12	14	9	11	13	15	
0	2	4	6	1	3	5	7	8	10	12	14	9	11	13	15	
1	3	5	7	0	2	4	6	9	11	13	15	8	10	12	14	
1	3	5	7	0	2	4	6	9	11	13	15	8	10	12	14	
8	10	12	14	9	11	13	15	0	2	4	6	1	3	5	7	
8	10	12	14	9	11	13	15	0	2	4	6	1	3	5	7	
9	11	13	15	8	10	12	14	1	3	5	7	0	2	4	6	
9	11	13	15	8	10	12	14	1	3	5	7	0	2	4	6	
0	2	4	6	1	3	5	7	8	10	12	14	9	11	13	15	
0	2	4	6	1	3	5	7	8	10	12	14	9	11	13	15	
1	3	5	7	0	2	4	6	9	11	13	15	8	10	12	14	
1	3	5	7	0	2	4	6	9	11	13	15	8	10	12	14	
8	10	12	14	9	11	13	15	0	2	4	6	1	3	5	7	
8	10	12	14	9	11	13	15	0	2	4	6	1	3	5	7	
9	11	13	15	8	10	12	14	1	3	5	7	0	2	4	6	
9	11	13	15	8	10	12	14	1	3	5	7	0	2	4	6	
